term,definition
曝光效應,當人們經常暴露於某一刺激，他們會給予那刺激更正面評價的現象。
美就是好的刻板印象,認為外貌吸引人者亦擁有令人滿意的個性特徵的一種信念。
匹配假說,人們被那些在某些特徵上面，譬如身體吸引力方面與他們相似的人所吸引並建立關係。
互惠,在我們所給予和接受之間相互交換，例如：喜歡那些喜歡我們的人。
難得為寶效應,人們傾向於偏愛在社會選擇上具高度選擇性者，勝於輕易可到手的對象。
親密關係,兩個成人之間密切的關係，包含：情感的依附、心理需求的滿足、和相互依賴。
社會交換理論,認為人們具有動機，在與別人的關係之中以最小的付出而得到最大的收穫。
公平理論,當兩個伴侶之間所得好處和付出貢獻的比率相似時，人們對關係最為滿意。
交換關係,在一個關係中，參與者期待並渴望互惠對等的關係。
共享關係,在一個關係中，參與者期待並渴望相互滿足對方的需求。
依附風格,人們與重要他人互動的典型方式。
愛情三角理論,此理論認為愛有3個基本的成分：親密、激情、承諾，並可依此3種成分組合而成愛情的8種次類型。
激情愛,特徵為高度激發、強烈的吸引力、和害怕被拒絕的浪漫愛。
友伴愛,一種安全、信任、穩定的關系。
興奮轉移,由一刺激造成的興奮激發，會加在第二刺激所造成的興奮之中，而由此第一和第二刺激聯合造成的興奮，則被歸因於第二刺激。
自我揭露,個人對其他人透露其自我。
性取向,個人對同性伴侶（同性戀）、異性伴侶（異性戀）、或兩性伴侶（雙性戀）的偏好。
